   1.07007         	   1.08963         	         2         
   1.08963         	   1.10918         	         7         
   1.10918         	   1.12874         	         7         
   1.12874         	    1.1483         	         9         
    1.1483         	   1.16785         	         9         
   1.16785         	   1.18741         	        10         
   1.18741         	   1.20697         	        16         
   1.20697         	   1.22653         	        13         
   1.22653         	   1.24608         	        22         
   1.24608         	   1.26564         	        12         
   1.26564         	    1.2852         	        29         
    1.2852         	   1.30475         	        21         
   1.30475         	   1.32431         	        19         
   1.32431         	   1.34387         	        11         
   1.34387         	   1.36342         	        23         
   1.36342         	   1.38298         	        10         
   1.38298         	   1.40254         	        18         
   1.40254         	   1.42209         	        13         
   1.42209         	   1.44165         	        15         
   1.44165         	   1.46121         	         9         
   1.46121         	   1.48076         	        13         
   1.48076         	   1.50032         	        16         
   1.50032         	   1.51988         	        21         
   1.51988         	   1.53943         	         9         
   1.53943         	   1.55899         	        12         
   1.55899         	   1.57855         	        13         
   1.57855         	    1.5981         	         8         
    1.5981         	   1.61766         	         9         
   1.61766         	   1.63722         	         6         
   1.63722         	   1.65677         	         5         
   1.65677         	   1.67633         	         5         
   1.67633         	   1.69589         	         5         
   1.69589         	   1.71545         	         8         
   1.71545         	     1.735         	         5         
     1.735         	   1.75456         	         4         
   1.75456         	   1.77412         	         3         
   1.77412         	   1.79367         	         2         
   1.79367         	   1.81323         	         4         
   1.81323         	   1.83279         	         4         
   1.83279         	   1.85234         	         2         
   1.85234         	    1.8719         	         2         
    1.8719         	   1.89146         	         2         
   1.89146         	   1.91101         	         1         
   1.91101         	   1.93057         	         0         
   1.93057         	   1.95013         	         0         
   1.95013         	   1.96968         	         2         
   1.96968         	   1.98924         	         0         
   1.98924         	    2.0088         	         0         
    2.0088         	   2.02835         	         0         
   2.02835         	   2.04791         	         0         
   2.04791         	   2.06747         	         0         
   2.06747         	   2.08702         	         0         
   2.08702         	   2.10658         	         0         
   2.10658         	   2.12614         	         0         
   2.12614         	   2.14569         	         0         
   2.14569         	   2.16525         	         0         
   2.16525         	   2.18481         	         0         
   2.18481         	   2.20437         	         0         
   2.20437         	   2.22392         	         0         
   2.22392         	   2.24348         	         0         
   2.24348         	   2.26304         	         0         
   2.26304         	   2.28259         	         0         
   2.28259         	   2.30215         	         0         
   2.30215         	   2.32171         	         1         
